CODIGO ESTACION,NOMBRE ESTACION,COD_REGION,REGION,COMUNA,LAT,LONG,UTM_ESTE,UTM_NORTE,ALTITUD
1000005,VISVIRI,1,DE TARAPACA,GENERAL LAGOS,173542,692836,449416,8054572,4080
1001005,CAQUENA,1,DE TARAPACA,PUTRE,180315,691206,478657,8003813,4400
1010007,CHUNGARA RETEN,1,DE TARAPACA,PUTRE,181652,690817,485395,7978695,4570
1010008,MISSITUNI,1,DE TARAPACA,PUTRE,182052,690803,485824,7971306,4720
1010009,CHUNGARA GUARDERIA,1,DE TARAPACA,PUTRE,181601,690660,487667,7980251,4600
1010010,CHUNGARA AJATA,1,DE TARAPACA,PUTRE,181407,691060,480626,7983770,4585
1020002,RIO DESAGUADERO COTACOTANI,1,DE TARAPACA,PUTRE,181126,691527,472777,7988713,4500
1020013,ISLA BLANCA,1,DE TARAPACA,PUTRE,181109,691251,477350,7989216,4540
1020014,COTACOTANI,1,DE TARAPACA,PUTRE,181127,691437,474243,7988679,4550
1020015,PARINACOTA CONAF DGA,1,DE TARAPACA,PUTRE,181205,691606,471624,7987487,4420
1020016,CHUCUYO RETEN,1,DE TARAPACA,PUTRE,181258,691904,466400,7985875,4400
1020017,PARINACOTA EX ENDESA,1,DE TARAPACA,PUTRE,181214,691606,471615,7987222,4420
1020018,CHUCUYO (EX. ENDESA),1,DE TARAPACA,PUTRE,181305,691917,466017,7985634,4400
1021002,RIO GUALLATIRE EN GUALLATIRE,1,DE TARAPACA,PUTRE,182948,690905,484016,7954866,4280
1021007,GUALLATIRE,1,DE TARAPACA,PUTRE,182951,690915,483736,7954769,4240
1030003,CHILCAYA,1,DE TARAPACA,PUTRE,184738,690505,491077,7921963,4270
1041002,RIO ISLUGA EN BOCATOMA,1,DE TARAPACA,COLCHANE,191620,684059,533306,7869011,4000
1041003,COLCHANE (T. ISLUGA),1,DE TARAPACA,COLCHANE,191635,683817,538022,7868565,3700
1041004,ENQUELGA (EX CARAGUANO),1,DE TARAPACA,COLCHANE,191357,684823,520551,7873933,3900
1042001,CANCOSA,1,DE TARAPACA,PICA,195119,683606,541707,7804456,3930
1042002,HUAYTANI,1,DE TARAPACA,COLCHANE,193238,683614,541556,7838936,3950
1044001,RIO CANCOSA EN EL TAMBO,1,DE TARAPACA,POZO ALMONTE,195124,683516,543139,7804317,3753
1050002,RIO PIGA EN COLLACAGUA,1,DE TARAPACA,PICA,200216,684959,517456,7784322,3926
1050004,RIO COLLACAGUA EN PE—ABLANCA,1,DE TARAPACA,PICA,200610,685037,516357,7777125,3853
1050007,COYACAGUA,1,DE TARAPACA,PICA,200216,684949,517758,7784315,3920
1050009,DIABLO MARCA,1,DE TARAPACA,PICA,200616,685805,503352,7777034,4585
1050010,SILLILLICA,1,DE TARAPACA,PICA,201004,684416,527450,7769951,3840
1051003,SALAR HUASCO,1,DE TARAPACA,PICA,201634,685310,511892,7757931,3800
1051004,ALTOS DEL HUASCO,1,DE TARAPACA,PICA,201917,685334,511245,7752971,4044
1080001,UJINA,1,DE TARAPACA,PICA,205818,683739,537876,7679528,4300
1080002,COLLAHUASI,1,DE TARAPACA,PICA,205946,684807,520585,7678240,4250
1110001,PUQUIOS,1,DE TARAPACA,ARICA,181029,694438,421322,7990299,3750
1110004,LA CONCORDIA B1,1,DE TARAPACA,ARICA,182052,702201,355581,7970787,29
1200002,VILLA INDUSTRIAL (TACORA),1,DE TARAPACA,GENERAL LAGOS,174619,694327,423234,8034895,4080
1200003,HUMAPALCA,1,DE TARAPACA,GENERAL LAGOS,175007,694214,425418,8027904,3980
1200004,VOLCAN TACORA,1,DE TARAPACA,GENERAL LAGOS,174139,694622,418055,8043488,5047
1201003,RIO LLUTA EN ALCERRECA,1,DE TARAPACA,GENERAL LAGOS,180013,693758,433023,8009292,3550
1201005,RIO CARACARANI EN HUMAPALCA,1,DE TARAPACA,GENERAL LAGOS,175019,694223,425137,8027537,3908
1201010,ALCERRECA,1,DE TARAPACA,GENERAL LAGOS,175926,693938,430067,8010722,3990
1201011,METEOROLOGICA DE COLPITAS,1,DE TARAPACA,GENERAL LAGOS,175712,692709,452082,8014925,4140
1202009,PACOLLO,1,DE TARAPACA,PUTRE,181037,693033,446149,7990138,4185
1202010,PUTRE,1,DE TARAPACA,PUTRE,181157,693337,440751,7987664,3545
1202011,LAS CUEVAS CONAF,1,DE TARAPACA,PUTRE,181238,693037,446042,7986419,4060
1202012,PUTRE (DCP),1,DE TARAPACA,PUTRE,181142,693333,440879,7988163,3560
1202013,QUEBRADA SOCOROMA,1,DE TARAPACA,PUTRE,181522,693623,435895,7981378,2975
1202014,PACOLLO EN REGIMIENTO N∞24,15,DE ARICA Y PARINACOTA,PUTRE,181047,693027,446328,7989856,4179
1210010,CORONAMIENTO PRESA EMBALSE CHIRONTA (EM EC),15,DE ARICA Y PARINACOTA,ARICA,181837,694508,420506,7975322,1759
1210011,ESTACI”N CENTRAL,15,DE ARICA Y PARINACOTA,ARICA,182144,695733,398665,7969471,1490
1210012,POZO POCONCHILE,15,DE ARICA Y PARINACOTA,ARICA,182651,700414,386952,7959969,542
1211006,LLUTA,1,DE TARAPACA,ARICA,182437,701009,376506,7963998,290
1300004,MURMUNTANE,1,DE TARAPACA,PUTRE,182107,693307,441683,7970762,3550
1300005,PORTEZUELO CHAPIQUI—A,1,DE TARAPACA,PUTRE,181938,692758,450745,7973523,4375
1300006,CENTRAL CHAPIQUI—A,1,DE TARAPACA,ARICA,182219,693252,442121,7968569,3350
1300007,BELEN,1,DE TARAPACA,PUTRE,182804,693101,445416,7957986,3240
1300008,TIGNAMAR,1,DE TARAPACA,PUTRE,183452,692939,447864,7945454,3230
1300009,RIO TICNAMAR EN ANGOSTURA,1,DE TARAPACA,PUTRE,183049,693355,440319,7952869,3010
1300010,COPAQUILLA,1,DE TARAPACA,PUTRE,182324,693748,433133,7965719,2900
1310018,ARICA OFICINA,1,DE TARAPACA,ARICA,182840,701915,360557,7956456,20
1310019,AZAPA,1,DE TARAPACA,ARICA,183059,701048,375451,7952288,365
1310021,U. DEL NORTE,1,DE TARAPACA,ARICA,182900,701737,363417,7955824,55
1310022, EL BUITRE AERODROMO,1,DE TARAPACA,ARICA,183043,701703,364437,7952665,110
1310085,TIMAR,15,DE ARICA Y PARINACOTA,ARICA,184351,694238,425093,7928805,2459
1310086,POZO AZAPA KM.35,15,DE ARICA Y PARINACOTA,ARICA,183448,695953,394689,7945351,710
1310087,POZO DGA AZAPA Km 50,15,DE ARICA Y PARINACOTA,ARICA,183515,695040,410903,7944604,1142
1410011,CHACA,1,DE TARAPACA,ARICA,184901,700900,378819,7919009,350
1410012,CODPA,1,DE TARAPACA,CAMARONES,184957,694438,421621,7917556,1870
1410013,UMIRPA,1,DE TARAPACA,ARICA,184502,692436,462053,7926734,3920
1410014,POZO DGA CHACA A-37,15,DE ARICA Y PARINACOTA,ARICA,184819,700922,378171,7920321,332
1410015,POZO VITOR A-32,15,DE ARICA Y PARINACOTA,ARICA,184632,701547,366877,7923534,110
1501001,CARITAYA EMBALSE,1,DE TARAPACA,CAMARONES,190129,692010,464627,7896377,3600
1502006,CUYA,1,DE TARAPACA,ARICA,190642,700737,381457,7886408,200
1502007,ESQUI—A,1,DE TARAPACA,CAMARONES,185614,693147,444221,7906029,2170
1502008,RIO CAMARONES EN CHILPE,1,DE TARAPACA,CAMARONES,185630,693702,435013,7905513,1565
1502009,METEOROLOGICA DE CAMARONES,1,DE TARAPACA,CAMARONES,190029,695120,409950,7898066,728
1610003,PUMIRE,1,DE TARAPACA,COLCHANE,190543,690639,488340,7888600,4150
